Menge;Teilenummer;Hersteller-Teilenummer;Beschreibung;Stückpreis;Gesamtpreis EUR
2;TCST1103-ND;TCST1103;SENSOR OPT SLOT PHOTOTRANS MODUL;1,12000;2,24
1;1995-1004-ND;DDRI418ZZHA3P25LO1;"SR144ZZ BEAR 1/8""ID 1/4""OD 7/64""";2,79000;2,79
2;1772-3517-ND;1055-SS;"COMPRESSION STEEL 0.187"" 0.750""";0,11000;0,22
1;2223-UJC-HP-G-5-SMT-TRCT-ND;UJC-HP-G-5-SMT-TR;TYPE C, 20 VDC, 3 A, HORIZONTAL,;0,62000;0,62
2;13-MFR-25FRF52-5K1CT-ND;MFR-25FRF52-5K1;RES 5.1K OHM 1% 1/4W AXIAL;0,09000;0,18
1;P19523CT-ND;ECA-1EM220I;CAP ALUM 22UF 20% 25V RADIAL TH;0,16000;0,16
2;516-4267-1-ND;HLMP-EH3A-WX0DD;LED RED-ORANGE CLEAR T-1 3/4 T/H;0,84000;1,68
1;S7037-ND;PPPC041LFBN-RC;CONN HDR 4POS 0.1 GOLD PCB;0,37000;0,37
1;732-5317-ND;61300411121;CONN HEADER VERT 4POS 2.54MM;0,15000;0,15
2;P1.15KHCT-ND;ERJ-3EKF1151V;RES SMD 1.15K OHM 1% 1/10W 0603;0,09000;0,18
1;P68.0HCT-ND;ERJ-3EKF68R0V;RES SMD 68 OHM 1% 1/10W 0603;0,09000;0,09
2;P10.0KHCT-ND;ERJ-3EKF1002V;RES SMD 10K OHM 1% 1/10W 0603;0,09000;0,18
4;P1.00KHCT-ND;ERJ-3EKF1001V;RES SMD 1K OHM 1% 1/10W 0603;0,09000;0,36
2;P20.0HCT-ND;ERJ-3EKF20R0V;RES SMD 20 OHM 1% 1/10W 0603;0,09000;0,18
2;MBT3904DW1T1GOSCT-ND;MBT3904DW1T1G;TRANS 2NPN 40V 200MA SC88/SC70;0,16000;0,32
2;732-13702-ND;97790403111;MACH SCREW PAN HEAD PHILLIPS M3;0,21000;0,42
2;732-13703-ND;97790503111;MACH SCREW PAN HEAD PHILLIPS M3;0,21000;0,42
3;732-13706-ND;97791003111;MACH SCREW PAN HEAD PHILLIPS M3;0,21000;0,63
